Name,Score
batch2_design_208,2.5174
batch2_design_338,2.5179
batch2_design_168,2.5183
batch2_design_344,2.5185
batch2_design_245,2.5193
batch2_design_121,2.5221
batch2_design_114,2.5222
batch2_design_265,2.5224
batch2_design_138,2.5226
batch2_design_25,2.5227
batch2_design_63,2.5239
batch2_design_130,2.5259
batch2_design_262,2.5282
batch2_design_85,2.5288
batch2_design_39,2.5288
batch2_design_192,2.529
batch2_design_295,2.5292
batch2_design_195,2.53
batch2_design_298,2.5303
design_54,2.5313
batch2_design_287,2.5315
batch2_design_252,2.5322
batch2_design_291,2.5325
batch2_design_95,2.5327
batch2_design_258,2.5331
batch2_design_342,2.5338
batch2_design_205,2.5344
batch2_design_347,2.5345
batch2_design_96,2.5346
batch2_design_180,2.5348
design_15,2.5361
batch2_design_297,2.5369
batch2_design_318,2.5383
design_55,2.5384
batch2_design_48,2.5385
batch2_design_259,2.5404
batch2_design_23,2.5406
batch2_design_142,2.5408
batch2_design_143,2.5409
batch2_design_36,2.5428
batch2_design_321,2.5428
batch2_design_257,2.5452
batch2_design_280,2.5452
batch2_design_59,2.5468
batch2_design_146,2.5476
batch2_design_219,2.55
batch2_design_6,2.5501
batch2_design_76,2.5506
batch2_design_364,2.5523
batch2_design_53,2.5539
design_43,2.5548
batch2_design_52,2.5559
batch2_design_5,2.5565
batch2_design_73,2.5566
batch2_design_38,2.5567
batch2_design_232,2.5575
batch2_design_163,2.559
batch2_design_54,2.5603
design_11,2.5607
batch2_design_294,2.5613
batch2_design_159,2.563
batch2_design_339,2.5631
design_41,2.5644
design_27,2.5646
batch2_design_266,2.5649
batch2_design_358,2.5653
batch2_design_64,2.5655
batch2_design_144,2.5663
design_57,2.5665
batch2_design_284,2.567
batch2_design_134,2.5672
batch2_design_165,2.5672
batch2_design_327,2.5673
batch2_design_267,2.5674
batch2_design_215,2.5678
batch2_design_18,2.5696
batch2_design_244,2.5707
batch2_design_319,2.5711
batch2_design_355,2.5726
batch2_design_186,2.5756
batch2_design_154,2.5758
batch2_design_200,2.5769
batch2_design_279,2.5774
batch2_design_171,2.5795
batch2_design_30,2.5798
batch2_design_106,2.5802
batch2_design_249,2.5806
batch2_design_81,2.5809
batch2_design_123,2.583
batch2_design_2,2.5834
batch2_design_324,2.5835
batch2_design_228,2.5836
batch2_design_243,2.5839
batch2_design_101,2.5857
batch2_design_89,2.5858
batch2_design_316,2.5858
design_20,2.5877
batch2_design_133,2.5883
design_51,2.5888
batch2_design_268,2.5889
batch2_design_111,2.5903
batch2_design_98,2.5917
batch2_design_322,2.5928
design_46,2.5937
batch2_design_88,2.5941
batch2_design_250,2.5962
batch2_design_115,2.5968
design_42,2.5972
batch2_design_17,2.5985
batch2_design_341,2.5998
design_35,2.5998
batch2_design_207,2.6006
batch2_design_16,2.6013
batch2_design_78,2.6016
batch2_design_157,2.6024
batch2_design_371,2.6025
design_12,2.6027
batch2_design_24,2.6039
batch2_design_44,2.6041
batch2_design_270,2.605
batch2_design_152,2.6054
design_65,2.6061
batch2_design_323,2.607
batch2_design_198,2.6091
batch2_design_62,2.6093
batch2_design_352,2.61
batch2_design_139,2.6115
batch2_design_237,2.6125
batch2_design_227,2.6127
batch2_design_185,2.6143
batch2_design_41,2.6149
batch2_design_204,2.6165
batch2_design_51,2.6185
batch2_design_303,2.6189
batch2_design_166,2.6198
design_31,2.6211
design_59,2.6236
batch2_design_233,2.624
batch2_design_178,2.6255
design_38,2.6265
batch2_design_300,2.6267
batch2_design_365,2.6287
batch2_design_86,2.6299
design_9,2.6302
batch2_design_308,2.6319
batch2_design_363,2.6327
batch2_design_189,2.633
batch2_design_216,2.6335
batch2_design_191,2.6349
batch2_design_131,2.6361
batch2_design_239,2.6365
design_60,2.6369
batch2_design_27,2.637
batch2_design_107,2.6424
batch2_design_45,2.6435
batch2_design_313,2.6446
batch2_design_199,2.6457
batch2_design_263,2.6509
design_8,2.6537
batch2_design_310,2.655
batch2_design_184,2.6563
design_16,2.657
design_66,2.6581
batch2_design_79,2.6639
design_14,2.6672
batch2_design_304,2.6732
batch2_design_125,2.6739
design_10,2.6764
design_39,2.6774
design_61,2.6915
batch2_design_340,2.702
design_37,2.7297
