0	2.461
1	3.415
2	3.491
3	3.568
4	3.234
5	3.185
6	3.061
7	3.191
8	3.036
9	3.149
10	3.573
11	3.529
12	3.614
13	3.646
14	3.752
15	4.107
16	4.035
17	3.926
18	3.992
19	4.090
20	3.853
21	3.894
22	3.827
23	3.957
24	3.937
25	3.925
26	3.832
27	4.073
28	4.028
29	3.748
30	3.773
31	3.932
32	4.004
33	4.010
34	3.911
35	3.848
36	4.173
37	4.003
38	4.135
39	4.140
40	4.182
41	4.193
42	4.081
43	4.283
44	4.269
45	4.342
46	4.442
47	4.387
48	4.423
49	4.513
50	4.247
51	4.342
52	4.270
53	4.411
54	4.285
55	4.250
56	4.307
57	4.056
58	4.234
59	4.164
60	4.059
61	4.221
62	4.312
63	4.380
64	4.414
65	4.259
66	4.273
67	4.256
68	4.409
69	4.439
70	4.367
71	4.332
72	4.358
73	4.351
74	4.337
75	4.141
76	4.221
77	4.377
78	4.289
79	4.038
80	4.241
81	4.273
82	4.100
83	4.300
84	4.420
85	4.233
86	4.240
87	4.524
88	4.697
89	4.315
90	4.934
91	4.688
92	4.626
93	4.444
94	4.508
95	4.547
96	4.493
97	4.480
98	4.401
99	4.424
100	4.453
101	4.413
102	4.493
103	4.453
104	4.580
105	4.671
106	4.475
107	4.499
108	4.686
109	4.488
110	4.591
111	4.557
112	4.587
113	4.583
114	4.677
115	4.500
116	4.651
117	4.805
118	4.823
119	4.795
120	4.570
121	4.448
122	4.500
123	4.600
124	4.649
125	4.665
126	4.591
127	5.068
128	5.184
129	5.160
130	5.224
131	5.145
132	5.416
133	5.531
134	5.417
135	5.473
136	5.371
137	5.265
138	5.344
139	5.379
140	5.347
141	4.995
142	5.498
143	5.477
144	5.614
145	5.486
146	5.467
147	5.460
148	5.467
149	5.350
150	5.395
151	5.364
152	5.363
153	5.412
154	5.305
155	5.461
156	5.449
157	5.705
158	5.837
159	5.843
160	5.708
161	5.726
162	5.716
163	5.730
164	5.662
165	5.761
166	5.750
167	5.795
168	5.742
169	5.865
170	5.828
171	5.872
172	5.870
173	5.830
174	5.632
175	5.734
176	5.804
177	5.853
178	5.851
179	5.824
180	5.746
181	5.671
182	5.537
183	5.553
184	5.619
185	5.503
186	5.491
187	5.365
188	5.726
189	5.724
190	5.348
191	5.660
192	5.849
193	5.706
194	5.700
195	5.834
196	5.650
197	6.022
198	6.086
199	5.635
200	5.658
201	5.633
202	5.790
203	5.514
204	5.447
205	5.459
206	5.721
207	5.601
208	5.729
209	5.700
210	5.803
211	5.516
212	5.619
213	5.428
214	5.568
215	5.601
216	5.534
217	5.676
218	5.730
219	5.535
220	5.636
221	5.790
222	5.319
223	5.735
224	5.676
225	5.624
226	5.855
227	5.845
228	5.708
229	5.512
230	5.652
231	5.387
232	5.448
233	5.353
234	5.427
235	5.667
236	5.581
237	5.667
238	5.749
239	5.687
240	5.768
241	5.793
242	5.884
243	5.820
244	5.736
245	5.831
246	5.869
247	5.888
248	5.809
249	5.387
250	5.380
251	5.551
252	5.480
253	5.472
254	5.365
255	5.363
256	5.521
257	5.455
258	5.452
259	5.468
260	5.450
261	5.523
262	5.597
263	5.345
264	5.422
265	5.422
266	5.639
267	5.519
268	5.729
269	5.590
270	5.448
271	5.540
272	5.527
273	5.607
274	5.396
275	5.519
276	5.382
277	5.562
278	5.435
279	5.638
280	5.554
281	5.590
282	5.633
283	5.574
284	5.514
285	5.635
286	5.531
287	5.592
288	5.632
289	5.538
290	5.379
291	5.207
292	5.748
293	5.582
294	5.514
295	5.479
296	5.449
297	5.601
298	5.638
299	5.597
300	5.423
301	5.350
302	5.348
303	5.459
304	5.469
305	5.475
306	5.734
307	5.722
308	5.646
309	5.697
310	5.551
311	5.554
312	5.634
313	5.682
314	5.620
315	5.585
316	5.616
317	5.717
318	5.689
319	5.662
320	5.626
321	5.386
322	5.574
323	5.632
324	5.704
325	5.782
326	5.802
327	5.808
328	5.825
329	5.895
330	5.706
331	5.677
332	5.794
333	5.772
334	5.820
335	5.808
336	5.814
337	5.895
338	5.829
339	5.812
340	5.771
341	5.825
342	5.770
343	5.787
344	5.816
345	5.814
346	5.853
347	5.793
348	5.790
349	5.811
350	5.761
351	5.834
352	5.797
353	5.670
354	5.720
355	5.829
356	5.828
357	5.823
358	5.906
359	5.767
360	5.719
361	5.859
362	5.920
363	5.884
364	5.856
365	5.822
366	5.764
367	5.831
368	5.869
369	5.865
370	5.860
371	5.957
372	5.822
373	5.777
374	5.866
375	5.878
376	5.932
377	5.765
378	5.836
379	5.874
380	5.967
381	5.968
382	5.958
383	5.988
384	5.936
385	6.008
386	6.030
387	5.999
388	6.012
389	5.827
390	6.107
391	5.994
392	6.036
393	5.957
394	5.944
395	6.062
396	5.875
397	5.928
398	5.882
399	5.901
400	6.034
401	6.011
402	5.966
403	5.982
404	5.977
405	5.791
406	5.786
407	5.928
408	5.822
409	5.724
410	5.390
411	5.615
412	5.640
